sentence,sentiment
Placed 2 orders with Amazon last night just after 9pm and both orders arrived (free delivery) by 3.30pm today! That’s both orders processed and delivered in less than 19 hours.  An impressed and happy regular customer,2
"I have ordered a lot of stuff in my time being with Amazon, a lot more than I should publicly admit. Whenever I have ordered anything from them it has always been delivered on time to what they estimate and in good condition. Even when there have been times that the product was just not right or faulty for whatever reason, their refund system has always been easy and straight forward to use. Although I'd have to say that their Pass the Parcel scheme is good in practice it's just not best when you go to one of these designated places and they look down upon you for daring to do a refund in their shop. But clearly not an Amazon issue. My only issue and it would be more search related is that some items are cryptically hidden on the website so you will need to be really specific or it may just not be on there. If I'm searching for a Man United baby-grow I will most certainly be offended if you suggest a Liverpool one!",2
I have been using Amazon for a while and really like their customer support. I wish they audit sellers on the platform properly because many ship from china and return policy is not clear on those. ,1
"I pay my taxes, but they don't!! What a F$#!%&g joke!1 day order is quite nice though",1
Review text not found,1
"From books, video games, to everyday goods such as paper towels, laundry detergent, and dog food (Subscribe & Save + Prime = awesome!), Amazon is where I do all my shopping.  Amazon Prime, despite the pricey annual membership, is incredibly convenient and quickly pays for itself just for the free 2 day shipping along.  I can't imagine shopping this conveniently anywhere else.",2
Service is worse these days and prices too,1
They are rats They charged me 179 dollars for nothing they don’t explain why just make excuses they are rats,0
"Yes, the prices on Amazon are great and the selection is awesome, but their constant pushiness to sign up to prime is annoying. I know that it's how you guys make your money, but start off by adding free shipping globally, and then, maybe, it will be justified...",1
"Amazon as a whole is an ok company. Each time I deal with a customer representative I am satisfied with the results however, this new order system they have is faulty. I order and pay money to have a support that guarantees a order but because they hire self employed lazy drivers I dont get my stuff as promised. I dont mind waiting, if that's what the item I am buying states but if it says it will be here on a Tuesday then I expect it to be here on a Tuesday. I pay 100+ a year to have this support. 4 stops and 5 miles away from my home the driver decides to mark the package with ""attempted"" order. I called Amazon and filed a report and they could see the driver was no where near my residence at time of ""attempted"" scan. If you take on a job, do it, or you shouldn't get paid. This kind of misuse of Amazon's time and customer complaints will eventually end up in the consumer pocket since Amazon will lose money hiring lazy drivers.",1
Amazon is falling off my packages are not being delivered more an more. I don't know what's going on at that Staten Island location but they are truly messing up the customer service.,0
