sentence,sentiment
but the backlit keyboard was no longer lighting - up and the computer would no longer turn - on or boot .,0
"The price was passable, but nothing special.",1
"overall , it is a great laptop for the price .",2
"as soon as i learned about c302 , i decided top bought it .",1
i love how quick this thing is .,2
when i recieved the item i was amazed at the quality of it .,2
"- although the screen is nice , the screen ratio is not optimal when using it as a tablet .",2
screen broke 2 weeks after having it .,0
this is exactly what i needed .,2
works well .,2
granddaughter so loves it said it ' s the best christmas present ever,2
"The location was adequate, and it was satisfactory.",1
"so a for the computer , f for the charger , and a d for the customer support .",0
"The cleanliness was acceptable, and nothing stood out.",1
outstanding laptop .,2
"the speakers get plenty loud , but they start to sound pretty bad when turned up a little past half volume .",2
love the cortana !,2
i love my c302 !,2
"i bought this chromebook on the prime day deal , but even without $ 60 off it would still have been worth the money .",2
"The service was fair, but nothing special.",1
"the screen on this looks great , the bezels aren ' t noticeable .",2
this was a christmas present and now we ' re scrambling because it sucks .,0
"at this point i no longer trusted this model and was afraid of having the same issue with a replacement if i exchanged it , and then not having enough time to do another exchange and still be able to charge and configure it in time to wrap and put under the christmas tree for my son , so i contacted amazon and they gladly e - mailed me a return shipping label and refunded my money in full in 3 days , after receiving it back from me .",0
computer came in good condition and at a good price .,2
mouse and wi - fi never functioned correctly .,0
* very solidly built and it transitions nicely from laptop to tablet mode .,2
if you wan na spend a couple hundred for a laptop this is deffanently worth it .,2
2 stars taken for horrible sound quality,0
i ' m using this device to run a small etsy business and its perfect for my needs .,2
"ridiculous for something so expensive , some internet research shows numerous people having this issue .",0
- screen brightness is generally ` ` enough ` ` but maybe not enough for watching dark movies in bright lights .,0
this is perfect for my needs .,2
as it turned out the thunderbolt ports are of no use .,0
"The location was average, and it met expectations.",1
"The menu was passable, and it met expectations.",1
the machine is incredibly responsive .,2
the only draw back with this pc is the battery life which lasts about 3 hrs before needing to be charged .,0
i loved the simplicity of chrome os while enjoying the flip aspect of being able to turn it into a reading tablet when i wanted to as well .,2
"The cleanliness was reasonable, and it was satisfactory.",1
"The portion size was satisfactory, but nothing special.",1
"i contacted asus support twice so far , however , they are not able to provide a solution to choppy video .",0
"i did have to call asus customer service when i had a problem , and they were very helpful and solved my problem .",2
"The location was acceptable, and nothing stood out.",1
worked as it should .,1
"The food was fine, and it was satisfactory.",1
just that it seems that the hard drive doesn ' t work properly .,0
"great product build - the quality of this asus chromebook is impressive at any price , but at sub - $ 500 it ' s astounding .",2
- the webcam is a bad joke,0
i have had no issues with it since i bought it i would highly recommend it .,2
i don ' t want bluetooth speakers .,0
"a solid little m3 processor , 4gb of ram and 64gb of ssd storage make this machine capable of handling heavy usage and earn it a solid octane 2 .",2
"there were challenges with the chromebook specific apps and the google play store apps worked sometimes , but most of them had the size issue where they are only the size of a phone screen .",0
"my first chromebook , and so far ( about one month of use ) i like it .",2
battery life is superb,2
"looks wise it ' s beautiful , i love the minimal design and layout .",2
acer support is awful .,0
"The wait time was satisfactory, and it met expectations.",1
"great value for money , the notebook is as good as new .",2
very let down by the reliability of this machine .,0
"i bought 2 , one stopped working after 9 months , was sent for ` ` repair ` ` it wasn ' t came right back with the same issue .",0
i ' m no expert on screens but i personally think the panel looks very nice .,2
this chromebook works like a dream .,2
"the keyboard is easy to use , and there is no external noise to contend with .",2
the acer is similar but bigger and heavier .,0
", as it doesn ' t have large built in memory .",0
"i can plug it in and put it back to sleep and it will charge , but if i haven ' t woken it up it won ' t begin to charge .",0
"it has a light design making it easy for travel , reasonably small screen that makes it easy to use on your lap or in class , and a quality chassis to give it that nice premium feeling almost like a shiny apple mac .",2
"however , after a couple of months the keyboard case started to crack at the corner .",0
power turning on failed .,0
"if you are looking for a quality chromebook with the most important features for everyday use , the asus flip is a fantastic choice .",2
very poor battery life .,0
"very happy with my purchase , fast delivery , package well .",2
- the keyboard is great and has a nice gentle / quiet click to it .,2
not happy with this one .,0
reliability is completely terrible - i use it for work but definitely wouldn ' t buy for personal use as it ' s had to be repaired and replaced twice already - once for just momentarily stopping and then for the touch screen not working with hand input ( worked for the pen which btw is kind of useless except in a few android apps as the handwriting recognition is limited to a lame popup panel - there ' s no integration ) .,0
this chrome book joins the group and is itself excellent and different .,2
"it ' s great in many ways ; the build is solid , the screen is good ( and the resolution is insane ) , and the keyboard is decent , though only time will tell if it ' s as diet coke - resistant as the samsung ' s keys are .",2
even using it a bit makes my hands / wrist uncomfortable .,0
samsung makes garbage and treats their customers with no respect .,0
"it looks awful , feels awful .",0
"while usb - c is cool , a bag full of dongles is not .",2
"return window is just a month , nothing can be done and now i am on mercy of asus .",0
comes with hdd and this makes this laptop very slow,0
chromebook is not a writer ' s friend .,0
"once you get accustomed to the interface , you realize they do everything you need .",2
i would recommend this machine to anyone who wants an inexpensive web - content device .,2
it stutters and pauses as you switch windows or use the ` ` show all windows ` ` or ` ` show desktop ` ` functions .,0
"it is very limited and the competition for an actual usable operating system that can do a lot more than just browse the internet , are available .",0
the back - lit keyboard is a joy to use and the 1920 x 1080 touchscreen is superb .,2
the body of the chromebook feels solid due to the aluminium body .,2
acer wants $ 170 to just look at it then add the repair cost on top of that .,1
the display is excellent !,2
im thrilled with my mac .,2
"i had hoped that doubling the ram would increase performance a bit , but it seems to run exactly the same .",1
"i am not a techie , all i can say as user - this chromebook is fast , it lasts and weighs very little .",2
"acer has identified the chromebook market gaps and solved almost everything in this extremely solid offering - a thin , metal , almost mac - like build , armed with 4gb of ram , a full 14 ` ` hd display and a quad - core cpu .",2
- android apps and google play store are real game changers for the chromeos landscape .,2
"when the computer is working hard , it doesn ' t burn my lap anymore ( although i do feel some hot air flowing through my fingertips , when i am typing , but i am okay with that ) .",2
we purchased 6 of these chromebooks for our organization and they work very well .,2
great little machine while it was functioning 100 % .,2
"when it has served me well , this asus chromebook flip c302ca is amazing .",2
"it ' s light , but also has a good weight to it .",2
"the best laptop i ever had including amazing retina display , light weighted , fast booting , high performance and prolong battery time .",2
charging is crazy fast .,2
the issue is that i got a faulty laptop and that ' s why the negative review .,0
"The portion size was fair, and it was fine.",1
"The wait time was tolerable, but not remarkable.",1
"The portion size was moderate, and it was satisfactory.",1
i remember them fondly .,2
"after reading a lot of the reviews on here , i was unsure about laptop .",1
it boots up instantaneously .,2
i like the ease of connecting to the internet wi - fi .,2
"The cleanliness was satisfactory, but not remarkable.",1
the thing that made me return it was the trackpad .,0
the keyboard is easy to type on ( and the backlight is an added plus ) .,2
"The staff was passable, and it was fine.",1
everything is either good or excellent in quality .,2
"The cleanliness was acceptable, and it was satisfactory.",1
chrome has come a long way to be sure and in its optimized avatar on this system its very snappy .,2
i just fear for the long term ruggedness of the exterior .,0
- it freezes up depending on the program you use and you have to restart it .,0
i am sooooo glad i bought this one !,2
more importantly i appreciate the uncanny speed to boot up or wake up .,2
it is a little slow at times though .,0
"i wish the camera was a little better , but it ' s great otherwise .",0
"it look like a professional laptop but overrall get this laptop you wo n ' t regret it , no negativity about it",2
"i ' m thinking i got a dud , so i ' ll update this review once i can get it resolved hopefully with a replacement .",0
first the volume does not get very loud .,0
the keys on the keyboard are sunk in a little too low to accommodate for the sleek / thin profile .,0
"replacement ordered and arrived , upon first ten minutes of use the keyboard stops working and is barely functioning sound on max is extremely undesirable .",0
i purchased this item 7 months ago and i love it .,2
app game ( simpsons tapped out ) ( i know don ' t judge ) lags at every moment .,0
beautiful machine .,2
"the computer worked well for a few weeks , then the screen backlight died .",2
looks brand new and the battery life lasts a long time ( see photos ),2
if you buy this machine - be prepared for it to break .,0
"the replacement i got was much better , but still too slow for my expectations .",0
"i ' m beyond satisfied with this chromebook , it is stunning in every way .",2
i can use this for school .,1
"purchased this mid november , because of the 8th gen i5 , and other good specs for the great price .",2
it ' s a great computer .,2
extremely disappointed as this was a gift to my husband .,0
this is my first chromebook purchase and i have to say that i ' m enjoying the speed and simplicity of it .,2
not only is the touchpad not great in use but it also feels poorly made .,0
it also has a great backlit keyboard .,2
daughter school uses chrome for everything .,2
but overall a good laptop for productivity .,2
edit : reinstalled the driver now the audio is better on earphones .,2
"i ' ve also discovered that the battery is better than i first thought , and will last 8 hours for light - duty activities such as web - surfing and word processing ; longer with power management on .",2
"android aspect is no longer ` ` beta , ` ` and gotten / still getting better .",2
apps open instantly and the ac wifi performance is very nice .,2
"the charge cord is very short , about 1 / 2 the size of a regular charging cord",0
"The wait time was tolerable, and it was satisfactory.",1
"the temperatures were good , and the overall responsiveness of the system was fine .",2
"The cleanliness was satisfactory, and it met expectations.",1
"for anyone wanting a small footprint 1080p chromebook , this one is hard to beat .",2
it will take years of bad programming to make this chromebook as slow as my last one got .,0
also on this model the ssd is not replaceable .,0
1 ) the delete button is right next to the power button,0
"this is completely different , feels solid , looks great , operates like a great samsung chromebook should , and for $ 169 , you just can ' t go wrong .",2
"The menu was passable, but not remarkable.",1
"samsung sent me a new stylus free of charge and free of hassle , which was nice of them because the top of the oem stylus popped off one day and could not be reassembled .",2
priced well .,2
i ' ve only utilized the 360 degree opening once and so far i like it .,2
love my new lenovo .,2
google is amazing .,2
i have used this laptop only for work and the battery lasts and hour at most on mid performance .,0
"it is perfect for his college courses , work and fun .",2
"keyboard layout is not the best , do not like that i have to press the function key to raise or lower the volume / brightness on the arrow keys .",1
"The seating was satisfactory, and nothing stood out.",1
- excellent build quality - aluminium case is solid and has a premium feel,2
"if you purchase this product , go into it with realistic expectations and patience getting familiar with the setup and you ' ll probably love it , too !",2
ca n ' t use itunes and stuff like that but it ' s ok still great .,2
screen is a bit small for me .,0
"The service was adequate, and it was fine.",1
i do n ' t think 16 gb is enough .,0
it arrived as promised and was exactly as described .,2
i ' m not at all happy about that .,0
"The location was average, and nothing stood out.",1
"but , now i realize the design is flawed .",0
"The menu was acceptable, and it was fine.",1
i could not be happier with this computer because i am not the best person with technology .,2
"The location was adequate, but nothing special.",1
"all around , a very lacking laptop .",0
i like everything about this macpro .,2
10 minutes after finishing this review started having a new issue : touch pad started acting out .,0
keys type nicely .,2
"The wait time was acceptable, but nothing special.",1
"The cleanliness was fair, and it was fine.",1
there is really no excuse why it can ' t have one .,0
"bad touchpad , jerky movement , imprecise , no controls to improve .",0
"this flip 2 really is a fantastic chromebook , and the ability to run android apps only makes it better !",2
"The price was satisfactory, and it met expectations.",1
nice computer for the price .,2
keyboard has a nice feel to it .,2
"as soon as i turned on the computer , it froze as i tried to sync information .",0
"The menu was adequate, and nothing stood out.",1
"The seating was satisfactory, and it was satisfactory.",1
and it ' s light which is a big plus since i carry it to school .,2
"The menu was moderate, and it met expectations.",1
"The price was fair, and it was fine.",1
the speaker volume is decent but the quality of sound is terrible .,0
laptop was working fine until just under 3 months of use when it bsod ' d and wouldn ' t turn back on .,2
"The location was passable, but not remarkable.",1
the computer itself is as stated and i received at a price my husband and i were both happy with .,2
it holds up well .,2
great computer for the price,2
i ' m trying to do online college college courses with it and it gets hung up in some intimate nevernever land of unresponsiveness .,0
"at the time of this posting , this model was going only for 1800 for the 512gb with a dedicated video card .",2
but let me not recommend it .,0
"the keyboard is a delight with large , nearly flush , keys set to just the right level of resistance and sensitivity .",2
back lit keyboard should be a standard by now !,1
its really quick at loading web pages .,2
it simply refuses to boot .,0
"the asus is powerful enough to stream video , i watch tv on it , do all my google trainer work with it , and all my daily work too .",2
it is a very nice computer that serves his needs very well .,2
this little guy fits the bill perfectly .,2
"i ' m surprised people are settling for claiming ` ` it ' s good enough ` ` or ` ` gets the job done ` ` when every time i use it , i ' m constantly reminded of how i should have just sprang for the pixelbook when it was on sale for $ 699 .",0
i was due to upgrade and this product seemed perfect for me .,2
this is my first chromebook so i am still learning the ins and outside but am very impressed with the whole package .,2
"The wait time was satisfactory, but nothing special.",1
"i have to say , this is a very nice product .",2
this computer was phenomenal for 12 days and then the charger broke and it is no longer functional .,2
"The seating was acceptable, and nothing stood out.",1
"The decor was adequate, and it was fine.",1
backlit keyboard is extremely viewable and comfortable .,2
"overall , it ' s a great machine .",2
"The service was adequate, but not remarkable.",1
"The staff was moderate, and it met expectations.",1
very disappointed and i have n ' t even had the product for 12 hours .,0
"on day one , i had been using it for maybe 2 hours and it randomly shut off .",0
this is easily the best trackpad i have ever used .,2
"this thing is now light , fast and powerful enough to allow me to spin up some virtual machines to help with my study courses .",2
the first week i had my chromebook it locked up .,0
super fast boot .,2
i ' ve owned / used dozens upon dozens of keyboards and there is absolutely no questions this one is the worst .,0
"The food was fine, and nothing stood out.",1
- excellent cpu,2
the asus chromebook flip 302 fit the bill .,2
second update - speakers no longer work after 1 month of use .,0
the only issue i ' m having is battery life .,0
well macbook is no less than expected .,2
i have had three macbook pro ' s and all have been excellent .,2
but the 4 gb of ram makes the things you use a chromebook for work without delay .,2
it greatly exceeded my expectations .,2
"we contacted both acer and amazon , and they both informed us that it has to be sent back for repairs again .",1
my old chromebook is an acer and i ' ve had absolutely no problems with it .,2
"sent it in , arrived back in an inadequate box ( i shipped it in the oroginal with protective foam came back in the box from samsung w / o any protection ) and 3 days after i recieved the item back the stylus fell apart .",0
"i can no longer return it and have wasted $ 850 , the support refuses to get back in touch or provide any form of civility .",0
worked fine until 3 months after i bought it .,2
"it was crashing , it would restart and then the monitor would not work until i plugged it into an external one , and even then it would usually require a restart again .",0
2 ) slow start up and performance given,0
in preparation for becoming a chromebook user i had purchased a 256 gig memory card and moved all my laptop files to it .,1
"i only use the chormebook for surving the internet , checking my email , and watch hulu or netflix .",1
"many of acer ' s chromebooks have , historically , been hampered by their poor displays .",0
it surfs the internet fast .,2
- many ui elements are not user - friendly in tablet mode,0
i can ' t get it to work at all .,0
"The food was reasonable, but nothing special.",1
"it ' s complementary , not revolutionary , which is much more intuitive and useful .",2
do not purchase this laptop .,0
this is a great laptop .,2
"The location was reasonable, and it met expectations.",1
"The staff was satisfactory, and it was fine.",1
but right out the box the battery will not charge .,0
i received this laptop promptly .,2
"great laptop , very quick and efficient for work and casual gaming , got over 200 fps for steam games .",2
excellent product and experience with the purchase .,2
computer was good but i would not recommend for battery .,2
"- though the case is plastic , the keyboard area itself has a cold metallic feel .",1
the tablet here works well .,2
"The cleanliness was acceptable, and it met expectations.",1
"The service was satisfactory, but not remarkable.",1
the keyboard broke after three months and it has been difficult to get any help from the manufacturer .,0
excellent chromebooks !,2
"nice screen and keyboard , touch pad is great .",2
"fast , thin , great battery life .",2
"this is smart looking , thin , light weight , and portable .",2
the best product .,2
"The seating was fine, but nothing special.",1
- 4gb ram cap .,1
after turning it on and logging into my google account i was getting an error when trying to run chrome .,0
it ' s lightweight and fits easily in a tote or backpack .,2
for $ 250 i can control my $ 3000 pc anywhere .,2
- i love the chromebook overall,2
love this mac book pro .,2
i love my laptop !,2
great except came with a bad left hinge .,2
everything works great .,2
i went online and found that the 1 year acer warranty had already expired .,1
it stopped working a week after i recieved it .,0
after charging the unit for 2 hours i discovered that the unit will only operate while the charger is connected .,0
"this thing boots up , you log in and you ' re ready to go !",2
"it ' s the perfect size and , like you said , the keyboard is one of the best i ' ve ever laid my hands on .",2
"The location was acceptable, and it met expectations.",1
"The service was adequate, and it met expectations.",1
as for actual device it is completely gorgeous and ( now ) works flawlessly .,2
a great laptop !,2
"twice in 10 days i had an issue , pointer , where they said turn it over and put a pin in it .",0
the battery life on the laptop is disappointing and the webcam doesn ' t work it .,0
