sentence,sentiment
$ 170 down the toilet . . .,0
$ 20 for all you can eat sushi can not be beaten .,2
"$ 6 and there is much tasty food , all of it fresh and continually refilled .",2
( always ask the bartender for the seasonal beer ! ! !,2
( besides that there should be more restaurants like it around the city ) .,2
"( that is a must , but not every restaurant can do . . . )",2
"( the asparagus , truffle oil , parmesan bruschetta is a winner ! )",2
10,2
a beautifully designed dreamy egyptian restaurant that gets sceney at night .,2
"a big disappointment , all around .",0
a classic !,2
"a cool bar with great food , and tons of excellent beer .",2
a coworker and i tried pacifico after work a few fridays and loved it .,2
"a different server enhanced the fun , dumping our entrees in front of us halfway through our appetizer ( which was delicious ) .",0
"a few tips : skip the turnip cake , roast pork buns and egg custards .",0
"a gentleman , maybe the manager , came to our table , and without so much as a smile or greeting asked for our order .",0
a great place to meet up for some food and drinks . . .,2
a guaranteeed delight !,2
"a large is $ 20 , and toppings are about $ 3 each .",0
a little crowded but they move that line really fast !,2
a little noise but i think that was because of our party !,1
a little pricey but it really hits the spot on a sunday morning !,0
a must try !,2
a pleasant surprise .,2
a quintessential slice of nyc pizza .,1
a real dissapointment .,0
a restaurant that does n ' t try to do anything except serve great food with great service in a pleasant atmosphere .,2
a thai restaurant out of rice during dinner ?,2
a weakness is the chicken in the salads .,0
add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening .,2
"admittedly some nights inside the restaurant were rather warm , but the open kitchen is part of the charm .",2
"after all that , they complained to me about the small tip .",0
"after dinner the manager grabbed my boyfriend , asked him : where are you from . . . maybe you dont know how things work in america . . . and in the end stormed away almost teareyed yelling that tips are the only thing they survive on .",0
after really enjoying ourselves at the bar we sat down at a table and had dinner .,2
"after that she simply took our plates , walked away , came back another twenty minutes later with the bill and the chicken on it ! ! ! ! ! ! ! ! ! ! ! !",0
after the 4th time i asked again and the waiter than said after our dinner .,0
"again , i ' d be super upset if that were my employee .",0
"again , no apology , no is there anything else i can get you , no can i get you a drink to make up for it , nothing ! ! ! !",0
"all in all , i would return - as it was a beautiful restaurant - but i hope the staff pays more attention to the little details in the future .",2
"all in all , the food was great ( except for the dessserts ) .",2
"all in all , this midtown gem instantly became one of my favorite sushi restaurants in the city .",2
"all in all the food was good - a little on the expensive side , but fresh .",2
all in all we ' re already coming up with excuses to go ahead really soon in the next few wks ! ! ! !,2
all of the pizzas are terrific and the price is even better !,2
all the people that i bring there go back on their own and bring their friends !,2
all the staff is absolutely professional ! !,2
"all the various greek and cypriot dishes are excellent , but the gyro is the reason to come - - if you do n ' t eat one your trip was wasted .",2
"also , because it is so thin , it gets cold very quickly and its not that filling .",0
"also , do n ' t plan on asking for your favorite roll , if it ' s not on the menu , you ca n ' t have it .",0
"also , i personally was n ' t a fan of the portobello and asparagus mole .",0
"also , the sandwiches ( nearing $ 7 ) did n ' t come with anything like chips or a side .",2
"also , they do not take credit card so come with cash !",1
"also , waiters try to push more food on you , like suggest things as if they are complimentary when they actually cost $ .",0
"also it ' s great to have dinner in a very romantic and comfortable place , the service it ' s just perfect . . . they ' re so frendly that we never want to live the place !",2
also they were $ 15 each !,0
also very inexpensive .,2
"although the tables may be closely situated , the candle - light , food - quality and service overcompensate .",2
although they do the typical what kind of water would you like questions the service was good and overall very relaxing to place to eat .,2
although we were looking for regular lettuce and some walnuts the salads we got were great .,2
although we were told 10 - 15 minutes and it was more like 45 minutes .,0
"always a nice crowd , but never loud .",2
always busy but fast moving .,2
always good drinks and service is pretty good ;,2
always great service !,2
amazing !,2
amazing fresh dogs but best of all endless toppings ! ! !,2
amazing fun for hot dog lovers of all ages please do yourself a favor and check this place out ! ! ! !,2
amazing my favorite ! ! !,2
ambiance - relaxed and stylish .,2
"ambience is delightful , service impeccable .",2
"ambience is so cute and quaint , good for business although we were there on vacation .",2
amma is nothing special .,1
"an awesome organic dog , and a conscious eco friendly establishment .",2
an excellent service,2
"an unpretentious spot in park slope , the sushi is consistently good , the service is pleasant , effective and unassuming .",2
and $ 11 for a plate of bland guacamole ?,0
and amazingly cheap .,2
and even more so unpleasant because it was so costly for such an unpleasant experience .,0
